Level,Type,Composer,Title,Publisher
Freshman,Etude,"BOUSQUET, N.",36 Celebrated Studies,Fischer
Freshman,Etude,CAFFARELLI,100 Studi Melodici!,Ricordi
Freshman,Etude,"DEFAYE, J.M.",Six Etudes,Leduc
Freshman,Etude,"GATES, E.",Odd Meter Etudes,Fox
Freshman,Etude,"GETCHELL, R.","Practical Studies, Books 1 & 2",Belwin Mills
Freshman,Etude,"HERING, S.",32 Etudes,Fischer
Freshman,Etude,"KORAK, J.",Concone: The Complete Solfeggi,Balquhidder
Freshman,Etude,SMALL,27 Melodious and Rhythmical Studies,Fischer
Freshman,Etude,"VOISIN, R.",11 Studies,International
Freshman,Etude,WURM. W.,40 Studies,International
Freshman,Solo,ALBINONI. (Baldwin),Sonata No. 11 (St. Marc),Brass Press
Freshman,Solo,"BALAY, G.",Prelude et Ballade,Belwin
Freshman,Solo,"BALAY, G.",Petite Piece Concertante,Belwin
Freshman,Solo,"BALAY, C.",Andante and Allegretto,Southern
Freshman,Solo,BARAT,Fantasy in Eb,Leduc
Freshman,Solo,BARAT,Andante et Scherzo,Leduc
Freshman,Solo,"BENNETT, R.R.",Rose Variations,Chappell
Freshman,Solo,"BERNSTEIN, L.",Rondo for Lifey,Boosey and Hawkes
Freshman,Solo,"BONNEAU, P.",Suite,Leduc
Freshman,Solo,"BOZZA, E.",Badinage,Leduc
Freshman,Solo,"CLARKE, H.L.",Carnival of Venice,Warner Brothers
Freshman,Solo,"CLARKE, H.L.",The Maid of the Mist,Warner Brothers
Freshman,Solo,"CORELLI, A.",Sonata VIII,Ricordi
Freshman,Solo,"DE FALLA, M.",Siete Canciones Populares Espanolas,Eschig
Freshman,Solo,"DONATO, A.",Prelude et Allegro,Leduc
Freshman,Solo,FITZGERALD B.,Ballad,Southern
Freshman,Solo,"GIBBONS, O.",Suite,Galliard
Freshman,Solo,"GOEDICKE, A.","Concert Etude, Op.49",International
Freshman,Solo,HANDEL (Musser),Sonata,Fox
Freshman,Solo,"HANDEL, G.F.",Aria Con Variazioni,Ricordi
Freshman,Solo,"HOVHANESS, A.",Prayer of St. Gregory,Southern
Freshman,Solo,"JACOB, G.",Four Little Pieces,Emerson
Freshman,Solo,"NELHYBEL, V.",Suite,General
Freshman,Solo,"PEETERS, F.",Sonata,Peters
Freshman,Solo,"ROPARTZ, G.",Andante and Allegro,International
Freshman,Solo,THOME,Fantasie,
Sophomore,Etude,BALASANYAN,20 Studies,International
Sophomore,Etude,"BORDOGNI, M.",Vingt-Quatre Vocalises,Leduc
Sophomore,Etude,"BRANDT, V.",34 Studies,MCA
Sophomore,Etude,"CHAVANNE, A.",25 Characteristic Studies,International
Sophomore,Etude,"CLARKE, H.L.",Characteristic Studies,Fischer
Sophomore,Etude,CLODOMIR,20 Studies,International
Sophomore,Etude,"DUBOIS, P.M.",Douze Etudes Variés,Leduc
Sophomore,Etude,"GOLDMAN, E.F.",Practical Studies,Fischer
Sophomore,Etude,"PAUDERT, E.",24 Studies,International
Sophomore,Etude,"SNEDECOR, P.",Lyrical Studies,PAS Music
Sophomore,Solo,"BEVERSDORF, T.",Sonata,Southern
Sophomore,Solo,"BITSCH, M.",Fantasietta,Leduc
Sophomore,Solo,"BLOCH, E.",Proclamation,Broude
Sophomore,Solo,"BOZZA, E.",Caprice,Leduc
Sophomore,Solo,"BOZZA, E.",Caprice No. 2,Leduc
Sophomore,Solo,"CHEETHAM, J.",Concoctions for Solo Trumpet,Presser
Sophomore,Solo,"CLARKE, H.L.",The Bride of the Waves,Warner Brothers
Sophomore,Solo,"CLARKE, H.L.",The Debutante,Warner Brothers
Sophomore,Solo,"CLARKE, H.L.",The Southern Cross,Warner Brothers
Sophomore,Solo,"CLARKE, H.L.",From the Shores of the Mighty Pacific,Witmark
Sophomore,Solo,"CLARKE, H.L.",Stars in a Velvety Sky,Warner Brothers
Sophomore,Solo,"EWAZEN, E.",Sonata,Southern
Sophomore,Solo,"GABAYE, P.",Boutade,Leduc
Sophomore,Solo,"GOEDICKE, A.","Concerto, Op. 41",International
Sophomore,Solo,"HARTLEY, W.",Caprice,Ensemble
Sophomore,Solo,"HARTLEY, W.",Sonatina,Accura
Sophomore,Solo,"HAYDN, F.J. (Voisin)",Concerto in Eb,International
Sophomore,Solo,"HOHNE, C.",Slavonic Fantasy,Hickman
Sophomore,Solo,"HUE, G.",Contest Piece,Southern
Sophomore,Solo,"HUMMEL, J.N.",Concerto in Eb,King
Sophomore,Solo,"IBERT, J.",Impromptu,Leduc
Sophomore,Solo,"JOLIVET, A.",Air de Bravoure,International
Sophomore,Solo,"KENNAN, K.",Sonata,Remick
Sophomore,Solo,"KETTING, O.",Intrada for Solo Trumpet,Donemus
Sophomore,Solo,"LATHAM, W.",Suite,Presser
Sophomore,Solo,"LEVY, J.",Grand Russian Fantasia,Fischer
Sophomore,Solo,"NERUDA, J.B.",Concerto in Eb,Musica Rara
Sophomore,Solo,"PRESSER, W.",Suite (solo trumpet),Ensemble
Sophomore,Solo,"RACHMANINOFF, S.",Three Songs,Balquhidder
Sophomore,Solo,"SIMON, F.",Willow Echoes,Fischer
Sophomore,Solo,"STAIGERS, D.",Carnival of Venice,Fischer
Sophomore,Solo,"WILDER, A.",Suite,Margun
Sophomore,Solo,"WILDER, A.",Sonata,Margun
Junior,Etude,"BACH, J.S. (Gisondi)",Bach for the Trumpet,McGinnis and Mark
Junior,Etude,"BALAY, G.",Quinze Etudes,Leduc
Junior,Etude,BUSSER,Douze Etudes Melodiques,Leduc
Junior,Etude,"COLIN, C.",Develop Sight Reading,Colin
Junior,Etude,"FALK, J.",Vingt Etudes Atonales,Leduc
Junior,Etude,"GEKKER, C.",Fifteen Studies for Piccolo Trumpet,Colin
Junior,Etude,"GLANTZ, H.",The Complete Harry Glantz,Colin
Junior,Etude,KOPPRASCH,"60 Selected Studies, Books 1 & 2",Fischer
Junior,Etude,"LONGINOTTI, P.",Studies in Classical and Modern Style,International
Junior,Etude,"SABARICH, R.",Dix Etudes,Selmer
Junior,Etude,"SACHSE, E.",100 Studies,International
Junior,Etude,VANNETELBOSCH,Vingt-Quatre Etudes Melodiques et Techniques,Leduc
Junior,Etude,"VOXMAN, H.",Selected Studies,Rubank
Junior,Solo,ARBAN,Carnival of Venice,Fischer
Junior,Solo,"ARUTUNIAN, A.",Concerto,International
Junior,Solo,BELLSTEDT,La Mandolinata,Southern
Junior,Solo,BELLSTEDT,Napoli,Southern
Junior,Solo,"BITSCH, M.",Quatre Variations un Theme de Scarlatti,Leduc
